"text","label"
"Where is my order?","order_status"
"Can I track my order?","order_status"
"Track my package","order_status"
"What's the status of my delivery?","order_status"
"When will my order arrive?","order_status"
"Is my order shipped yet?","order_status"
"Has my order been dispatched?","order_status"
"When will I receive my delivery?","order_status"
"Where is my shipment?","order_status"
"Can you give me the tracking number?","order_status"
"I want to return my item","returns"
"Can I return a product?","returns"
"How do I return something?","returns"
"Return policy please","returns"
"I want to return this","returns"
"How do I initiate a return?","returns"
"Can I get a full refund?","returns"
"How can I return my product?","returns"
"Where can I send my return?","returns"
"Do I need a receipt for returns?","returns"
"I need a refund","refund"
"Refund this please","refund"
"How long does a refund take?","refund"
"When will I get my money back?","refund"
"Please refund my order","refund"
"Will I get a refund for my cancelled order?","refund"
"Can I get a refund for defective products?","refund"
"How do I request a refund?","refund"
"Is there a refund policy?","refund"
"Can I get my money back?","refund"
"Cancel my order","cancel_order"
"I need to cancel","cancel_order"
"Cancel this purchase","cancel_order"
"How do I cancel my order?","cancel_order"
"Please cancel my purchase","cancel_order"
"I need to cancel my recent order","cancel_order"
"Can I cancel an item after ordering?","cancel_order"
"How do I stop an order from being shipped?","cancel_order"
"Cancel the order for me","cancel_order"
"Exchange my laptop","exchange"
"I want to exchange my shoes","exchange"
"Can I exchange this?","exchange"
"Need to exchange an item","exchange"
"Exchange this product","exchange"
"How can I exchange my item?","exchange"
"Do you offer exchanges?","exchange"
"Can I return and exchange?","exchange"
"Where can I exchange my product?","exchange"
"Can I exchange it for a different color?","exchange"
"What products do you have?","product_info"
"Tell me about your products","product_info"
"What do you sell?","product_info"
"Show me your catalog","product_info"
"List your items","product_info"
"What are your top-selling products?","product_info"
"Do you have discounts on products?","product_info"
"Can I see your product range?","product_info"
"What type of products do you offer?","product_info"
"How do I find products on your website?","product_info"
"What are the payment methods?","payment_methods"
"Do you accept credit cards?","payment_methods"
"Can I pay with PayPal?","payment_methods"
"Is UPI supported to pay?","payment_methods"
"What payment options are there?","payment_methods"
"Can I use a gift card?","payment_methods"
"Do you accept debit cards?","payment_methods"
"Can I pay with Apple Pay?","payment_methods"
"Can I use crypto for payments?","payment_methods"
"Is cash on delivery available?","payment_methods"
"My app is not working","app_issue"
"The app crashed","app_issue"
"Why is the app not loading?","app_issue"
"The application is freezing","app_issue"
"The app is slow","app_issue"
"Can’t log into my account","app_issue"
"App keeps crashing","app_issue"
"How do I reinstall the app?","app_issue"
"Why is the app so slow?","app_issue"
"I need help","general_help"
"Can you help me?","general_help"
"I need assistance","general_help"
"Help me out please","general_help"
"Is someone there to help?","general_help"
"Can you provide customer support?","general_help"
"Can I talk to an agent?","general_help"
"I need technical support","general_help"
"Is there any online help?","general_help"
"What is the warranty?","warranty"
"Warranty period?","warranty"
"Tell me about warranty","warranty"
"Do these products have warranty?","warranty"
"How long is the warranty?","warranty"
"What’s the warranty coverage?","warranty"
"Do you provide a warranty on electronics?","warranty"
"Can I extend the warranty?","warranty"
"Is warranty included in the price?","warranty"
"Can I get warranty info?","warranty"
"I need a product suggestion","product_suggestion"
"Suggest something for me","product_suggestion"
"Help me choose a product","product_suggestion"
"What should I buy?","product_suggestion"
"Recommend something","product_suggestion"
"Can you suggest a gift for me?","product_suggestion"
"Give me a product recommendation","product_suggestion"
"Which product is best for me?","product_suggestion"
"Can you help me with a suggestion?","product_suggestion"
"Do you sell phones?","product_availability"
"I’m looking for laptops","product_availability"
"Are tablets available?","product_availability"
"What products do you sell?","product_availability"
"Do you have headphones?","product_availability"
"Are headphones available?","product_availability"
"Can I buy headphones from you?","product_availability"
"Do you sell earphones?","product_availability"
"Do you have gadgets like headphones?","product_availability"
"Are your products available worldwide?","product_availability"
"Do you have any wireless speakers?","product_availability"
"What's the warranty on electronics?","warranty"
"Tell me the warranty period","warranty"
"Can I get warranty info?","warranty"
"Is warranty included?","warranty"
"What is the weather like today?",unknown
"Tell me a joke",unknown
"How tall is the Eiffel Tower?",unknown
"What's the capital of France?",unknown
"Sing me a song",unknown
"Open YouTube",unknown
"Can you dance?",unknown
"Start the game",unknown
"What time is it?",unknown
"Tell me a story",unknown
